,Family,Father,Mother,Gender,Height,Kids,MP,CH
0,1,78.5,67.0,M,73.2,4,75.43,73.2
1,1,78.5,67.0,F,69.2,4,75.43,74.736
2,1,78.5,67.0,F,69.0,4,75.43,74.52000000000001
3,1,78.5,67.0,F,69.0,4,75.43,74.52000000000001
4,2,75.5,66.5,M,73.5,4,73.66,73.5
5,2,75.5,66.5,M,72.5,4,73.66,72.5
6,2,75.5,66.5,F,65.5,4,73.66,70.74000000000001
7,2,75.5,66.5,F,65.5,4,73.66,70.74000000000001
8,3,75.0,64.0,M,71.0,2,72.06,71.0
9,3,75.0,64.0,F,68.0,2,72.06,73.44
10,4,75.0,64.0,M,70.5,5,72.06,70.5
11,4,75.0,64.0,M,68.5,5,72.06,68.5
12,4,75.0,64.0,F,67.0,5,72.06,72.36
13,4,75.0,64.0,F,64.5,5,72.06,69.66000000000001
14,4,75.0,64.0,F,63.0,5,72.06,68.04
15,5,75.0,58.5,M,72.0,6,69.09,72.0
16,5,75.0,58.5,M,69.0,6,69.09,69.0
17,5,75.0,58.5,M,68.0,6,69.09,68.0
18,5,75.0,58.5,F,66.5,6,69.09,71.82000000000001
19,5,75.0,58.5,F,62.5,6,69.09,67.5
20,5,75.0,58.5,F,62.5,6,69.09,67.5
21,6,74.0,68.0,F,69.5,1,73.72,75.06
22,7,74.0,68.0,M,76.5,6,73.72,76.5
23,7,74.0,68.0,M,74.0,6,73.72,74.0
24,7,74.0,68.0,M,73.0,6,73.72,73.0
25,7,74.0,68.0,M,73.0,6,73.72,73.0
26,7,74.0,68.0,F,70.5,6,73.72,76.14
27,7,74.0,68.0,F,64.0,6,73.72,69.12
28,8,74.0,66.5,F,70.5,3,72.91,76.14
29,8,74.0,66.5,F,68.0,3,72.91,73.44
30,8,74.0,66.5,F,66.0,3,72.91,71.28
31,9,74.5,66.0,F,66.0,1,72.89,71.28
32,10,74.0,65.5,F,65.5,1,72.37,70.74000000000001
33,11,74.0,62.0,M,74.0,8,70.48,74.0
34,11,74.0,62.0,M,70.0,8,70.48,70.0
35,11,74.0,62.0,F,68.0,8,70.48,73.44
36,11,74.0,62.0,F,67.0,8,70.48,72.36
37,11,74.0,62.0,F,67.0,8,70.48,72.36
38,11,74.0,62.0,F,66.0,8,70.48,71.28
39,11,74.0,62.0,F,63.5,8,70.48,68.58
40,11,74.0,62.0,F,63.0,8,70.48,68.04
41,12,74.0,61.0,F,65.0,1,69.94,70.2
42,14,73.0,67.0,M,68.0,2,72.68,68.0
43,14,73.0,67.0,M,67.0,2,72.68,67.0
44,15,73.0,66.5,M,71.0,3,72.41,71.0
45,15,73.0,66.5,M,70.5,3,72.41,70.5
46,15,73.0,66.5,F,66.7,3,72.41,72.036
47,16,73.0,65.0,M,72.0,9,71.6,72.0
48,16,73.0,65.0,M,70.5,9,71.6,70.5
49,16,73.0,65.0,M,70.2,9,71.6,70.2
50,16,73.0,65.0,M,70.2,9,71.6,70.2
51,16,73.0,65.0,M,69.2,9,71.6,69.2
52,16,73.0,65.0,F,68.7,9,71.6,74.19600000000001
53,16,73.0,65.0,F,66.5,9,71.6,71.82000000000001
54,16,73.0,65.0,F,64.5,9,71.6,69.66000000000001
55,16,73.0,65.0,F,63.5,9,71.6,68.58
56,17,73.0,64.5,M,74.0,6,71.33000000000001,74.0
57,17,73.0,64.5,M,73.0,6,71.33000000000001,73.0
58,17,73.0,64.5,M,71.5,6,71.33000000000001,71.5
59,17,73.0,64.5,M,62.5,6,71.33000000000001,62.5
60,17,73.0,64.5,F,66.5,6,71.33000000000001,71.82000000000001
61,17,73.0,64.5,F,62.3,6,71.33000000000001,67.284
62,18,73.0,64.0,F,66.0,3,71.06,71.28
63,18,73.0,64.0,F,64.5,3,71.06,69.66000000000001
64,18,73.0,64.0,F,64.0,3,71.06,69.12
65,19,73.2,63.0,F,62.7,1,70.62,67.71600000000001
66,20,72.7,69.0,M,73.2,8,73.61000000000001,73.2
67,20,72.7,69.0,M,73.0,8,73.61000000000001,73.0
68,20,72.7,69.0,M,72.7,8,73.61000000000001,72.7
69,20,72.7,69.0,F,70.0,8,73.61000000000001,75.60000000000001
70,20,72.7,69.0,F,69.0,8,73.61000000000001,74.52000000000001
71,20,72.7,69.0,F,68.5,8,73.61000000000001,73.98
72,20,72.7,69.0,F,68.0,8,73.61000000000001,73.44
73,20,72.7,69.0,F,66.0,8,73.61000000000001,71.28
74,21,72.0,68.0,M,73.0,3,72.72,73.0
75,21,72.0,68.0,F,68.5,3,72.72,73.98
76,21,72.0,68.0,F,68.0,3,72.72,73.44
77,22,72.0,67.0,M,73.0,3,72.18,73.0
78,22,72.0,67.0,M,71.0,3,72.18,71.0
79,22,72.0,67.0,F,67.0,3,72.18,72.36
80,23,72.0,65.0,M,74.2,7,71.1,74.2
81,23,72.0,65.0,M,70.5,7,71.1,70.5
82,23,72.0,65.0,M,69.5,7,71.1,69.5
83,23,72.0,65.0,F,66.0,7,71.1,71.28
84,23,72.0,65.0,F,65.5,7,71.1,70.74000000000001
85,23,72.0,65.0,F,65.0,7,71.1,70.2
86,23,72.0,65.0,F,65.0,7,71.1,70.2
87,24,72.0,65.5,F,65.5,1,71.37,70.74000000000001
88,25,72.0,64.0,F,66.0,2,70.56,71.28
89,25,72.0,64.0,F,63.0,2,70.56,68.04
90,26,72.0,63.0,M,70.5,5,70.02000000000001,70.5
91,26,72.0,63.0,M,70.5,5,70.02000000000001,70.5
92,26,72.0,63.0,M,69.0,5,70.02000000000001,69.0
93,26,72.0,63.0,F,65.0,5,70.02000000000001,70.2
94,26,72.0,63.0,F,63.0,5,70.02000000000001,68.04
95,27,72.0,63.0,M,69.0,3,70.02000000000001,69.0
96,27,72.0,63.0,M,67.0,3,70.02000000000001,67.0
97,27,72.0,63.0,F,63.0,3,70.02000000000001,68.04
98,28,72.0,63.0,M,73.0,6,70.02000000000001,73.0
99,28,72.0,63.0,M,67.0,6,70.02000000000001,67.0
100,28,72.0,63.0,F,70.5,6,70.02000000000001,76.14
101,28,72.0,63.0,F,70.0,6,70.02000000000001,75.60000000000001
102,28,72.0,63.0,F,66.5,6,70.02000000000001,71.82000000000001
103,28,72.0,63.0,F,63.0,6,70.02000000000001,68.04
104,29,72.5,63.5,F,67.5,3,70.53999999999999,72.9
105,29,72.5,63.5,F,67.2,3,70.53999999999999,72.57600000000001
106,29,72.5,63.5,F,66.7,3,70.53999999999999,72.036
107,30,72.0,62.0,F,64.0,1,69.48,69.12
108,31,72.5,62.0,M,71.0,6,69.73,71.0
109,31,72.5,62.0,M,70.0,6,69.73,70.0
110,31,72.5,62.0,M,70.0,6,69.73,70.0
111,31,72.5,62.0,F,66.0,6,69.73,71.28
112,31,72.5,62.0,F,65.0,6,69.73,70.2
113,31,72.5,62.0,F,65.0,6,69.73,70.2
114,32,72.0,62.0,M,74.0,5,69.48,74.0
115,32,72.0,62.0,M,72.0,5,69.48,72.0
116,32,72.0,62.0,M,69.0,5,69.48,69.0
117,32,72.0,62.0,F,67.5,5,69.48,72.9
118,32,72.0,62.0,F,63.5,5,69.48,68.58
119,33,72.0,62.0,M,72.0,5,69.48,72.0
120,33,72.0,62.0,M,71.5,5,69.48,71.5
121,33,72.0,62.0,M,71.5,5,69.48,71.5
122,33,72.0,62.0,M,70.0,5,69.48,70.0
123,33,72.0,62.0,F,68.0,5,69.48,73.44
124,34,72.0,61.0,F,65.7,1,68.94,70.956
125,35,71.0,69.0,M,78.0,5,72.76,78.0
126,35,71.0,69.0,M,74.0,5,72.76,74.0
127,35,71.0,69.0,M,73.0,5,72.76,73.0
128,35,71.0,69.0,M,72.0,5,72.76,72.0
129,35,71.0,69.0,F,67.0,5,72.76,72.36
130,36,71.0,67.0,M,73.2,4,71.68,73.2
131,36,71.0,67.0,M,73.0,4,71.68,73.0
132,36,71.0,67.0,M,69.0,4,71.68,69.0
133,36,71.0,67.0,F,67.0,4,71.68,72.36
134,37,71.0,66.0,M,70.0,4,71.14,70.0
135,37,71.0,66.0,F,67.0,4,71.14,72.36
136,37,71.0,66.0,F,67.0,4,71.14,72.36
137,37,71.0,66.0,F,66.5,4,71.14,71.82000000000001
138,38,71.0,66.0,M,70.0,6,71.14,70.0
139,38,71.0,66.0,M,69.0,6,71.14,69.0
140,38,71.0,66.0,M,68.5,6,71.14,68.5
141,38,71.0,66.0,F,66.0,6,71.14,71.28
142,38,71.0,66.0,F,64.5,6,71.14,69.66000000000001
143,38,71.0,66.0,F,63.0,6,71.14,68.04
144,39,71.0,66.0,M,71.0,2,71.14,71.0
145,39,71.0,66.0,F,67.0,2,71.14,72.36
146,40,71.0,66.0,M,76.0,5,71.14,76.0
147,40,71.0,66.0,M,72.0,5,71.14,72.0
148,40,71.0,66.0,M,71.0,5,71.14,71.0
149,40,71.0,66.0,M,66.0,5,71.14,66.0
150,40,71.0,66.0,F,66.0,5,71.14,71.28
151,41,71.7,65.5,M,70.5,1,71.22,70.5
152,42,71.0,65.5,M,72.0,6,70.87,72.0
153,42,71.0,65.5,M,72.0,6,70.87,72.0
154,42,71.0,65.5,M,71.0,6,70.87,71.0
155,42,71.0,65.5,M,69.0,6,70.87,69.0
156,42,71.0,65.5,F,66.0,6,70.87,71.28
157,42,71.0,65.5,F,65.0,6,70.87,70.2
158,43,71.5,65.5,M,73.0,2,71.12,73.0
159,43,71.5,65.5,F,65.2,2,71.12,70.41600000000001
160,44,71.5,65.0,M,68.5,2,70.85,68.5
161,44,71.5,65.0,M,67.7,2,70.85,67.7
162,45,71.0,65.0,M,68.0,3,70.6,68.0
163,45,71.0,65.0,M,68.0,3,70.6,68.0
164,45,71.0,65.0,F,62.0,3,70.6,66.96000000000001
165,46,71.0,64.0,F,68.0,8,70.06,73.44
166,46,71.0,64.0,F,68.0,8,70.06,73.44
167,46,71.0,64.0,F,67.5,8,70.06,72.9
168,46,71.0,64.0,F,66.5,8,70.06,71.82000000000001
169,46,71.0,64.0,F,66.5,8,70.06,71.82000000000001
170,46,71.0,64.0,F,66.0,8,70.06,71.28
171,46,71.0,64.0,F,65.5,8,70.06,70.74000000000001
172,46,71.0,64.0,F,65.0,8,70.06,70.2
173,47,71.7,64.5,M,72.0,4,70.68,72.0
174,47,71.7,64.5,M,71.0,4,70.68,71.0
175,47,71.7,64.5,M,70.5,4,70.68,70.5
176,47,71.7,64.5,F,67.0,4,70.68,72.36
177,48,71.0,64.0,M,68.0,3,70.06,68.0
178,48,71.0,64.0,M,68.0,3,70.06,68.0
179,48,71.0,64.0,M,68.0,3,70.06,68.0
180,49,71.5,64.5,M,72.0,7,70.58000000000001,72.0
181,49,71.5,64.5,M,71.0,7,70.58000000000001,71.0
182,49,71.5,64.5,M,70.0,7,70.58000000000001,70.0
183,49,71.5,64.5,F,66.0,7,70.58000000000001,71.28
184,49,71.5,64.5,F,64.5,7,70.58000000000001,69.66000000000001
185,49,71.5,64.5,F,64.5,7,70.58000000000001,69.66000000000001
186,49,71.5,64.5,F,62.0,7,70.58000000000001,66.96000000000001
187,51,71.2,63.0,F,67.5,2,69.62,72.9
188,51,71.2,63.0,F,64.5,2,69.62,69.66000000000001
189,52,71.0,63.5,M,71.0,5,69.78999999999999,71.0
190,52,71.0,63.5,M,67.0,5,69.78999999999999,67.0
191,52,71.0,63.5,F,66.0,5,69.78999999999999,71.28
192,52,71.0,63.5,F,65.0,5,69.78999999999999,70.2
193,52,71.0,63.5,F,63.5,5,69.78999999999999,68.58
194,53,71.0,63.0,M,71.0,9,69.52000000000001,71.0
195,53,71.0,63.0,M,70.0,9,69.52000000000001,70.0
196,53,71.0,63.0,M,70.0,9,69.52000000000001,70.0
197,53,71.0,63.0,M,64.0,9,69.52000000000001,64.0
198,53,71.0,63.0,F,65.0,9,69.52000000000001,70.2
199,53,71.0,63.0,F,65.0,9,69.52000000000001,70.2
200,53,71.0,63.0,F,64.0,9,69.52000000000001,69.12
201,53,71.0,63.0,F,63.0,9,69.52000000000001,68.04
202,53,71.0,63.0,F,63.0,9,69.52000000000001,68.04
203,54,71.0,63.0,M,71.0,4,69.52000000000001,71.0
204,54,71.0,63.0,M,71.0,4,69.52000000000001,71.0
205,54,71.0,63.0,M,70.0,4,69.52000000000001,70.0
206,54,71.0,63.0,F,63.5,4,69.52000000000001,68.58
207,55,71.0,62.0,M,71.0,5,68.98,71.0
208,55,71.0,62.0,M,70.0,5,68.98,70.0
209,55,71.0,62.0,F,64.5,5,68.98,69.66000000000001
210,55,71.0,62.0,F,62.5,5,68.98,67.5
211,55,71.0,62.0,F,61.5,5,68.98,66.42
212,56,71.0,62.0,M,72.0,5,68.98,72.0
213,56,71.0,62.0,M,70.5,5,68.98,70.5
214,56,71.0,62.0,M,70.5,5,68.98,70.5
215,56,71.0,62.0,F,64.5,5,68.98,69.66000000000001
216,56,71.0,62.0,F,60.0,5,68.98,64.80000000000001
217,57,71.0,62.5,M,70.0,5,69.25,70.0
218,57,71.0,62.5,F,64.0,5,69.25,69.12
219,57,71.0,62.5,F,64.0,5,69.25,69.12
220,57,71.0,62.5,F,64.0,5,69.25,69.12
221,57,71.0,62.5,F,62.5,5,69.25,67.5
222,58,71.0,62.0,M,70.5,7,68.98,70.5
223,58,71.0,62.0,M,70.0,7,68.98,70.0
224,58,71.0,62.0,M,69.0,7,68.98,69.0
225,58,71.0,62.0,M,69.0,7,68.98,69.0
226,58,71.0,62.0,M,66.0,7,68.98,66.0
227,58,71.0,62.0,F,64.5,7,68.98,69.66000000000001
228,58,71.0,62.0,F,64.0,7,68.98,69.12
229,59,71.0,61.0,F,62.0,1,68.44,66.96000000000001
230,60,71.0,58.0,M,71.5,2,66.82,71.5
231,60,71.0,58.0,M,69.0,2,66.82,69.0
232,61,70.0,69.0,M,71.0,4,72.26,71.0
233,61,70.0,69.0,M,70.0,4,72.26,70.0
234,61,70.0,69.0,M,69.0,4,72.26,69.0
235,61,70.0,69.0,F,69.0,4,72.26,74.52000000000001
236,62,70.0,69.0,M,70.0,6,72.26,70.0
237,62,70.0,69.0,M,68.7,6,72.26,68.7
238,62,70.0,69.0,F,68.0,6,72.26,73.44
239,62,70.0,69.0,F,66.0,6,72.26,71.28
240,62,70.0,69.0,F,64.0,6,72.26,69.12
241,62,70.0,69.0,F,62.0,6,72.26,66.96000000000001
242,63,70.0,68.0,M,75.0,1,71.72,75.0
243,64,70.0,67.0,M,70.0,5,71.18,70.0
244,64,70.0,67.0,M,69.0,5,71.18,69.0
245,64,70.0,67.0,F,66.0,5,71.18,71.28
246,64,70.0,67.0,F,64.0,5,71.18,69.12
247,64,70.0,67.0,F,60.0,5,71.18,64.80000000000001
248,65,70.0,67.0,F,67.5,1,71.18,72.9
249,66,70.0,66.5,M,73.0,11,70.91,73.0
250,66,70.0,66.5,M,72.0,11,70.91,72.0
251,66,70.0,66.5,M,72.0,11,70.91,72.0
252,66,70.0,66.5,M,66.5,11,70.91,66.5
253,66,70.0,66.5,F,69.2,11,70.91,74.736
254,66,70.0,66.5,F,67.2,11,70.91,72.57600000000001
255,66,70.0,66.5,F,66.5,11,70.91,71.82000000000001
256,66,70.0,66.5,F,66.0,11,70.91,71.28
257,66,70.0,66.5,F,66.0,11,70.91,71.28
258,66,70.0,66.5,F,64.2,11,70.91,69.33600000000001
259,66,70.0,66.5,F,63.7,11,70.91,68.796
260,67,70.5,65.0,M,72.0,4,70.35,72.0
261,67,70.5,65.0,M,70.2,4,70.35,70.2
262,67,70.5,65.0,M,69.0,4,70.35,69.0
263,67,70.5,65.0,M,68.5,4,70.35,68.5
264,68,70.5,65.0,F,68.0,5,70.35,73.44
265,68,70.5,65.0,F,65.0,5,70.35,70.2
266,68,70.5,65.0,F,61.5,5,70.35,66.42
267,68,70.5,65.0,F,61.0,5,70.35,65.88000000000001
268,68,70.5,65.0,F,61.0,5,70.35,65.88000000000001
269,69,70.0,65.0,M,73.0,8,70.1,73.0
270,69,70.0,65.0,M,72.0,8,70.1,72.0
271,69,70.0,65.0,M,70.5,8,70.1,70.5
272,69,70.0,65.0,M,65.0,8,70.1,65.0
273,69,70.0,65.0,M,65.0,8,70.1,65.0
274,69,70.0,65.0,F,64.5,8,70.1,69.66000000000001
275,69,70.0,65.0,F,63.0,8,70.1,68.04
276,69,70.0,65.0,F,62.0,8,70.1,66.96000000000001
277,70,70.0,65.0,M,67.0,5,70.1,67.0
278,70,70.0,65.0,M,65.0,5,70.1,65.0
279,70,70.0,65.0,F,64.5,5,70.1,69.66000000000001
280,70,70.0,65.0,F,62.5,5,70.1,67.5
281,70,70.0,65.0,F,62.5,5,70.1,67.5
282,71,70.0,65.0,M,70.0,6,70.1,70.0
283,71,70.0,65.0,M,70.0,6,70.1,70.0
284,71,70.0,65.0,F,67.0,6,70.1,72.36
285,71,70.0,65.0,F,65.0,6,70.1,70.2
286,71,70.0,65.0,F,65.0,6,70.1,70.2
287,71,70.0,65.0,F,63.0,6,70.1,68.04
288,72,70.0,65.0,M,79.0,7,70.1,79.0
289,72,70.0,65.0,M,75.0,7,70.1,75.0
290,72,70.0,65.0,M,71.0,7,70.1,71.0
291,72,70.0,65.0,F,69.0,7,70.1,74.52000000000001
292,72,70.0,65.0,F,67.0,7,70.1,72.36
293,72,70.0,65.0,F,65.7,7,70.1,70.956
294,72,70.0,65.0,F,62.0,7,70.1,66.96000000000001
295,73,70.0,65.0,M,73.0,3,70.1,73.0
296,73,70.0,65.0,M,72.5,3,70.1,72.5
297,73,70.0,65.0,F,65.0,3,70.1,70.2
298,74,70.0,65.0,M,69.0,2,70.1,69.0
299,74,70.0,65.0,M,69.0,2,70.1,69.0
300,75,70.0,64.7,M,72.0,7,69.938,72.0
301,75,70.0,64.7,M,70.0,7,69.938,70.0
302,75,70.0,64.7,M,68.7,7,69.938,68.7
303,75,70.0,64.7,F,66.5,7,69.938,71.82000000000001
304,75,70.0,64.7,F,65.5,7,69.938,70.74000000000001
305,75,70.0,64.7,F,64.7,7,69.938,69.876
306,75,70.0,64.7,F,64.5,7,69.938,69.66000000000001
307,76,70.0,64.0,M,70.7,7,69.56,70.7
308,76,70.0,64.0,M,70.0,7,69.56,70.0
309,76,70.0,64.0,M,68.0,7,69.56,68.0
310,76,70.0,64.0,M,67.0,7,69.56,67.0
311,76,70.0,64.0,M,66.0,7,69.56,66.0
312,76,70.0,64.0,M,65.0,7,69.56,65.0
313,76,70.0,64.0,F,67.0,7,69.56,72.36
314,77,70.0,64.0,M,70.0,4,69.56,70.0
315,77,70.0,64.0,M,68.0,4,69.56,68.0
316,77,70.0,64.0,M,66.7,4,69.56,66.7
317,77,70.0,64.0,F,65.5,4,69.56,70.74000000000001
318,78,70.0,64.2,M,72.0,5,69.668,72.0
319,78,70.0,64.2,M,70.0,5,69.668,70.0
320,78,70.0,64.2,F,62.5,5,69.668,67.5
321,78,70.0,64.2,F,61.2,5,69.668,66.096
322,78,70.0,64.2,F,60.1,5,69.668,64.908
323,79,70.5,64.0,M,74.0,8,69.81,74.0
324,79,70.5,64.0,M,69.5,8,69.81,69.5
325,79,70.5,64.0,M,69.0,8,69.81,69.0
326,79,70.5,64.0,M,68.0,8,69.81,68.0
327,79,70.5,64.0,M,68.0,8,69.81,68.0
328,79,70.5,64.0,M,68.0,8,69.81,68.0
329,79,70.5,64.0,F,65.5,8,69.81,70.74000000000001
330,79,70.5,64.0,F,65.0,8,69.81,70.2
331,80,70.5,64.5,F,60.0,1,70.08000000000001,64.80000000000001
332,81,70.0,64.0,M,68.0,4,69.56,68.0
333,81,70.0,64.0,F,65.0,4,69.56,70.2
334,81,70.0,64.0,F,64.0,4,69.56,69.12
335,81,70.0,64.0,F,62.0,4,69.56,66.96000000000001
336,82,70.0,64.0,M,71.0,9,69.56,71.0
337,82,70.0,64.0,M,70.0,9,69.56,70.0
338,82,70.0,64.0,M,70.0,9,69.56,70.0
339,82,70.0,64.0,M,70.0,9,69.56,70.0
340,82,70.0,64.0,M,69.5,9,69.56,69.5
341,82,70.0,64.0,M,68.5,9,69.56,68.5
342,82,70.0,64.0,F,69.0,9,69.56,74.52000000000001
343,82,70.0,64.0,F,65.0,9,69.56,70.2
344,82,70.0,64.0,F,64.0,9,69.56,69.12
345,83,70.0,63.7,M,70.0,8,69.398,70.0
346,83,70.0,63.7,M,67.0,8,69.398,67.0
347,83,70.0,63.7,M,65.5,8,69.398,65.5
348,83,70.0,63.7,F,63.7,8,69.398,68.796
349,83,70.0,63.7,F,63.2,8,69.398,68.25600000000001
350,83,70.0,63.7,F,62.5,8,69.398,67.5
351,83,70.0,63.7,F,62.2,8,69.398,67.176
352,83,70.0,63.7,F,61.0,8,69.398,65.88000000000001
353,85,70.5,63.0,M,72.5,5,69.27000000000001,72.5
354,85,70.5,63.0,M,69.0,5,69.27000000000001,69.0
355,85,70.5,63.0,M,67.0,5,69.27000000000001,67.0
356,85,70.5,63.0,F,64.5,5,69.27000000000001,69.66000000000001
357,85,70.5,63.0,F,64.0,5,69.27000000000001,69.12
358,86,70.0,63.5,M,71.0,4,69.28999999999999,71.0
359,86,70.0,63.5,M,67.5,4,69.28999999999999,67.5
360,86,70.0,63.5,F,67.5,4,69.28999999999999,72.9
361,86,70.0,63.5,F,63.5,4,69.28999999999999,68.58
362,87,70.0,63.0,M,68.0,4,69.02000000000001,68.0
363,87,70.0,63.0,M,67.0,4,69.02000000000001,67.0
364,87,70.0,63.0,F,63.7,4,69.02000000000001,68.796
365,87,70.0,63.0,F,62.0,4,69.02000000000001,66.96000000000001
366,88,70.0,63.0,M,70.0,4,69.02000000000001,70.0
367,88,70.0,63.0,M,66.5,4,69.02000000000001,66.5
368,88,70.0,63.0,F,62.0,4,69.02000000000001,66.96000000000001
369,88,70.0,63.0,F,61.0,4,69.02000000000001,65.88000000000001
370,89,70.5,62.0,M,72.0,8,68.73,72.0
371,89,70.5,62.0,M,70.0,8,68.73,70.0
372,89,70.5,62.0,M,69.5,8,68.73,69.5
373,89,70.5,62.0,M,69.5,8,68.73,69.5
374,89,70.5,62.0,M,68.0,8,68.73,68.0
375,89,70.5,62.0,F,65.0,8,68.73,70.2
376,89,70.5,62.0,F,64.0,8,68.73,69.12
377,89,70.5,62.0,F,63.0,8,68.73,68.04
378,90,70.3,62.7,M,70.7,7,69.00800000000001,70.7
379,90,70.3,62.7,M,69.7,7,69.00800000000001,69.7
380,90,70.3,62.7,M,69.2,7,69.00800000000001,69.2
381,90,70.3,62.7,M,65.2,7,69.00800000000001,65.2
382,90,70.3,62.7,F,64.0,7,69.00800000000001,69.12
383,90,70.3,62.7,F,63.5,7,69.00800000000001,68.58
384,90,70.3,62.7,F,63.2,7,69.00800000000001,68.25600000000001
385,91,70.5,62.0,M,72.0,3,68.73,72.0
386,91,70.5,62.0,M,72.0,3,68.73,72.0
387,91,70.5,62.0,F,60.0,3,68.73,64.80000000000001
388,92,70.0,61.0,M,71.2,2,67.94,71.2
389,92,70.0,61.0,M,67.0,2,67.94,67.0
390,93,70.0,60.0,M,67.0,4,67.4,67.0
391,93,70.0,60.0,M,64.5,4,67.4,64.5
392,93,70.0,60.0,F,65.0,4,67.4,70.2
393,93,70.0,60.0,F,63.0,4,67.4,68.04
394,94,70.0,60.0,F,65.0,2,67.4,70.2
395,94,70.0,60.0,F,65.0,2,67.4,70.2
396,95,70.0,58.5,M,71.5,3,66.59,71.5
397,95,70.0,58.5,M,64.5,3,66.59,64.5
398,95,70.0,58.5,F,63.0,3,66.59,68.04
399,96,70.0,58.0,M,72.0,5,66.32,72.0
400,96,70.0,58.0,M,66.0,5,66.32,66.0
401,96,70.0,58.0,F,66.0,5,66.32,71.28
402,96,70.0,58.0,F,65.0,5,66.32,70.2
403,96,70.0,58.0,F,63.0,5,66.32,68.04
404,97,69.0,68.5,M,75.0,10,71.49000000000001,75.0
405,97,69.0,68.5,M,71.0,10,71.49000000000001,71.0
406,97,69.0,68.5,M,70.0,10,71.49000000000001,70.0
407,97,69.0,68.5,F,66.0,10,71.49000000000001,71.28
408,97,69.0,68.5,F,66.0,10,71.49000000000001,71.28
409,97,69.0,68.5,F,65.5,10,71.49000000000001,70.74000000000001
410,97,69.0,68.5,F,65.0,10,71.49000000000001,70.2
411,97,69.0,68.5,F,65.0,10,71.49000000000001,70.2
412,97,69.0,68.5,F,64.0,10,71.49000000000001,69.12
413,97,69.0,68.5,F,64.0,10,71.49000000000001,69.12
414,98,69.0,67.0,F,64.0,1,70.68,69.12
415,99,69.0,66.0,M,73.0,8,70.14,73.0
416,99,69.0,66.0,M,72.0,8,70.14,72.0
417,99,69.0,66.0,M,71.7,8,70.14,71.7
418,99,69.0,66.0,M,71.5,8,70.14,71.5
419,99,69.0,66.0,F,65.5,8,70.14,70.74000000000001
420,99,69.0,66.0,F,65.0,8,70.14,70.2
421,99,69.0,66.0,F,62.7,8,70.14,67.71600000000001
422,99,69.0,66.0,F,62.5,8,70.14,67.5
423,100,69.0,66.0,M,71.2,3,70.14,71.2
424,100,69.0,66.0,M,71.0,3,70.14,71.0
425,100,69.0,66.0,M,70.0,3,70.14,70.0
426,101,69.0,66.7,M,75.0,6,70.518,75.0
427,101,69.0,66.7,M,74.0,6,70.518,74.0
428,101,69.0,66.7,M,72.0,6,70.518,72.0
429,101,69.0,66.7,M,68.5,6,70.518,68.5
430,101,69.0,66.7,M,67.0,6,70.518,67.0
431,101,69.0,66.7,M,66.0,6,70.518,66.0
432,102,69.0,66.0,M,70.0,6,70.14,70.0
433,102,69.0,66.0,M,68.5,6,70.14,68.5
434,102,69.0,66.0,M,68.0,6,70.14,68.0
435,102,69.0,66.0,F,65.0,6,70.14,70.2
436,102,69.0,66.0,F,63.0,6,70.14,68.04
437,102,69.0,66.0,F,62.5,6,70.14,67.5
438,103,69.0,66.5,M,73.0,5,70.41,73.0
439,103,69.0,66.5,M,71.0,5,70.41,71.0
440,103,69.0,66.5,M,70.5,5,70.41,70.5
441,103,69.0,66.5,M,70.5,5,70.41,70.5
442,103,69.0,66.5,F,61.0,5,70.41,65.88000000000001
443,104,69.5,66.5,M,70.5,4,70.66,70.5
444,104,69.5,66.5,M,67.5,4,70.66,67.5
445,104,69.5,66.5,F,64.5,4,70.66,69.66000000000001
446,104,69.5,66.5,F,64.0,4,70.66,69.12
447,105,69.0,66.5,M,71.0,6,70.41,71.0
448,105,69.0,66.5,F,68.5,6,70.41,73.98
449,105,69.0,66.5,F,67.5,6,70.41,72.9
450,105,69.0,66.5,F,66.0,6,70.41,71.28
451,105,69.0,66.5,F,63.0,6,70.41,68.04
452,105,69.0,66.5,F,63.0,6,70.41,68.04
453,106,69.5,66.0,M,71.0,7,70.39,71.0
454,106,69.5,66.0,M,71.0,7,70.39,71.0
455,106,69.5,66.0,M,70.5,7,70.39,70.5
456,106,69.5,66.0,M,70.5,7,70.39,70.5
457,106,69.5,66.0,F,66.5,7,70.39,71.82000000000001
